,type,longitude,latitude
8620,restaurant,4.8916101,52.3671726
8621,restaurant,4.891572,52.3436666
8622,restaurant,4.8987739,52.3636544
8623,cafe,4.8911471,52.3739798
8624,other,4.8912754,52.3740644
8625,bicycle_rental,4.8913684,52.3748156
8626,bicycle_rental,4.8918003,52.3745904
8627,restaurant,4.8920513,52.3748541
8628,bar,4.8921529,52.3749624
8629,bicycle_parking,4.8369948,52.387624
8630,fast_food,4.8997936,52.3661034
8631,bar,4.8612517,52.3639667
8632,fast_food,4.8612554,52.3639651
8633,bar,4.8848711,52.364434
8634,bicycle_parking,4.9060084,52.3622874
8635,recycling,4.9068811,52.3624738
8636,waste_disposal,4.949612,52.3550421
8637,recycling,4.900442,52.365976
8638,bench,4.900388,52.366054
8639,bicycle_parking,4.8979817,52.365289
8640,restaurant,4.897904,52.366187
8641,restaurant,4.895172,52.375294
8642,other,4.9423944,52.3684102
8643,other,4.9368485,52.3692287
8644,other,4.9358793,52.3702918
8645,other,4.8974048,52.3621482
8646,recycling,4.8880581,52.3444632
8647,pub,4.8967645,52.366965
8648,restaurant,4.8947099,52.3660053
8649,bicycle_parking,4.9189601,52.346849
8650,other,4.8863694,52.3733706
8651,theatre,4.9201231,52.3823908
8652,theatre,4.932097,52.3773406
8653,fast_food,4.8875146,52.3627038
8654,library,4.8364824,52.3362914
8655,fountain,4.7801641,52.3484869
8656,parking_entrance,4.8938441,52.3764637
8657,parking_entrance,4.8935954,52.376308
8658,bench,4.8837921,52.3848051
8659,parking_entrance,4.896307,52.3790423
8660,parking_entrance,4.896713,52.3787444
8661,atm,4.79902,52.3620497
8662,bench,4.9397823,52.3685947
8663,bench,4.9398521,52.3686307
8664,bench,4.939785,52.3686618
8665,other,4.8643725,52.361387
8666,restaurant,4.8679002,52.3673289
8667,bar,4.7926137,52.3559494
8668,restaurant,4.9288126,52.3559762
8669,charging_station,4.9003068,52.3611738
8670,other,4.977107,52.3201699
8671,other,4.8433749,52.3818409
8672,parking,4.9185654,52.3495625
8673,bench,4.8352501,52.3323895
8674,bench,4.8356567,52.3324828
8675,bench,4.8427159,52.3343931
8676,bench,4.8145766,52.3346177
8677,bench,4.8267853,52.3350922
8678,bench,4.8272626,52.3354214
8679,bench,4.8523868,52.3358205
8680,bench,4.851846,52.3363769
8681,bench,4.757026,52.3636747
8682,bench,4.7586725,52.3707033
8683,other,4.9168804,52.3677947
8684,bench,4.9770336,52.3212508
8685,other,4.9766798,52.3213107
8686,restaurant,4.8633372,52.3530768
8687,restaurant,4.8999895,52.3662833
8688,restaurant,4.9322732,52.377325
8689,pub,4.8761877,52.3697209
8690,cafe,4.8925906,52.3758175
8691,other,4.8926698,52.375874
8692,restaurant,4.8928106,52.3759829
8693,restaurant,4.893133,52.3757031
8694,parking,4.9797985,52.3099629
8695,other,4.8931548,52.3739785
8696,other,4.8947476,52.3754162
8697,other,4.893049,52.3738554
8698,other,4.8933084,52.3741033
8699,other,4.8947966,52.3755065
8700,cafe,4.8933732,52.3741495
8701,other,4.8931176,52.3739139
8702,parking_entrance,4.9492487,52.3015835
8703,parking_entrance,4.9506149,52.3016496
8704,parking_entrance,4.9484649,52.3020553
8705,other,4.9393212,52.3641138
8706,restaurant,4.8817584,52.3782562
8707,cafe,4.900897,52.369998
8708,other,4.888386,52.368831
8709,other,4.895748,52.371476
8710,other,4.902038,52.376389
8711,cafe,4.8701496,52.3684758
8712,other,4.870832,52.3686464
8713,fast_food,4.8961627,52.3758021
8714,other,4.8952116,52.3758679
8715,other,4.8945765,52.3752557
8716,other,4.896178,52.3765384
8717,other,4.8953321,52.3759543
8718,other,4.8964526,52.3768031
8719,other,4.8957937,52.3762467
8720,other,4.8961573,52.3764974
8721,other,4.8962973,52.3766255
8722,fast_food,4.8951652,52.3758347
8723,ice_cream,4.8965294,52.3771846
8724,other,4.896594,52.3771229
8725,other,4.896492,52.3772243
8726,other,4.8964301,52.3767695
8727,restaurant,4.8960344,52.377646
8728,other,4.8960571,52.376415
8729,other,4.8954112,52.3760083
8730,other,4.8952595,52.3759011
8731,other,4.8959279,52.3763371
8732,other,4.8962552,52.3765838
8733,other,4.8957298,52.3762081
8734,other,4.895105,52.3757934
8735,other,4.8964069,52.3767389
8736,other,4.8964795,52.3768443
8737,ice_cream,4.9387238,52.3737964
8738,other,4.9114192,52.3657913
8739,restaurant,4.9112086,52.3655267
8740,restaurant,4.9113226,52.3661818
8741,recycling,4.8295464,52.3544215
8742,waste_disposal,4.8293725,52.3544227
8743,parking_entrance,4.9386947,52.3996609
8744,parking_entrance,4.8890459,52.3273561
8745,restaurant,4.8627155,52.3641198
8746,clinic,4.8658782,52.3482621
8747,post_box,4.9176747,52.3574112
8748,other,4.8932881,52.3801989
8749,fast_food,4.8953014,52.375104
8750,other,4.8377493,52.3634023
