,type,longitude,latitude
22144,other,-46.74231268375208,-23.693319571995502
22145,fuel,-46.5833544278325,-23.58894936359023
22146,fuel,-46.58303853855036,-23.58869669891337
22147,fuel,-46.6578446831232,-23.546389162411767
22148,fuel,-46.49992453541015,-23.562295606246
22149,other,-46.49956806028586,-23.562307116852114
22150,other,-46.54701993866011,-23.525239061191915
22151,bus_station,-46.52949874672111,-23.531229433720405
22152,bus_station,-46.54390278182265,-23.533023294460826
22153,marketplace,-46.54767405907086,-23.518540429413108
22154,bus_station,-46.54691455174044,-23.518876638170003
22155,other,-46.5212279,-23.52249095
22156,townhall,-46.52100457711003,-23.518691357526357
22157,hospital,-46.60461627782722,-23.546654792909752
22158,other,-46.4273920847377,-23.507295604823565
22159,other,-46.54881221374963,-23.52536472221267
22160,arts_centre,-46.548450511755895,-23.52584416781901
22161,post_office,-46.73926384398248,-23.440040311048
22162,parking,-46.69396290585403,-23.52310702554172
22163,other,-46.72676124614785,-23.50380087443937
22164,other,-46.51999503375925,-23.523917579125182
22165,parking,-46.616067352779645,-23.52812997424228
22166,bank,-46.61391803180791,-23.528627582378338
22167,other,-46.61261104751067,-23.526241363749897
22168,other,-46.60709426910987,-23.530295300805047
22169,other,-46.63143599740963,-23.517894702009954
22170,other,-46.6315643759504,-23.517433355549105
22171,prison,-46.6174750075388,-23.50391606150465
22172,other,-46.5236111229434,-23.531068577653336
22173,nightclub,-46.67058147195307,-23.527587771503363
22174,other,-46.74357648141231,-23.52480350843789
22175,other,-46.745279673467344,-23.66593384781836
22176,other,-46.51522955694765,-23.53459984708988
22177,other,-46.51081309999999,-23.527233599999995
22178,other,-46.51075634012067,-23.527255701523504
22179,other,-46.560371042634905,-23.558513860733715
22180,other,-46.4701449778184,-23.51855717044733
22181,parking,-46.64207955449369,-23.522945754068008
22182,other,-46.63912890800631,-23.528638596556192
22183,other,-46.61993688656235,-23.478498117129703
22184,other,-46.61306962146882,-23.47730044382484
22185,parking,-46.73186197790018,-23.556450451320263
22186,parking,-46.72247460902506,-23.56365553583432
22187,parking,-46.73193307886632,-23.55690272260546
22188,school,-46.72917771901658,-23.57454186269801
22189,parking,-46.724607453085696,-23.572635837704617
22190,parking,-46.72183327782213,-23.571264804061016
22191,parking_space,-46.722469571674935,-23.571612738619702
22192,police,-46.722110963554506,-23.57140684326253
22193,other,-46.52675865673701,-23.52780100716387
22194,university,-46.62856474947536,-23.517029726609696
22195,parking,-46.62769728833928,-23.51573345317876
22196,other,-46.62328450747666,-23.61152358270149
22197,other,-46.6892499596082,-23.479345414975423
22198,other,-46.68878625780571,-23.480211304584262
22199,other,-46.68778755430921,-23.48068296410625
22200,school,-46.69187934011873,-23.479821973949072
22201,fuel,-46.69180842602072,-23.480470761235445
22202,other,-46.60150580154536,-23.60706137068799
22203,other,-46.64953685447755,-23.47095355149614
